Sr.No.,Entity_Types,Input_Text,Output,Person
63,PERSON,The defendant Sofia Navarro ran from the agents and passed a barb wire fence.,"(""entity""{tuple_delimiter}SOFIA NAVARRO{tuple_delimiter}PERSON{tuple_delimiter}Sofia Navarro is the defendant)
{record_delimiter}
(""entity""{tuple_delimiter}DEFENDANT{tuple_delimiter}PERSON{tuple_delimiter}The defendant of the case)
{record_delimiter}
(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Border Patrol Agents working on the case)
{record_delimiter}
(""relationship""{tuple_delimiter}SOFIA NAVARRO{tuple_delimiter}DEFENDANT{tuple_delimiter}Sofia Navarro is the defendant{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}SOFIA NAVARRO{tuple_delimiter}AGENTS{tuple_delimiter}Sofia Navarro ran from the agents{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","SOFIA NAVARRO,DEFENDANT,AGENTS"
64,"DATE, PERSON, MEANS_OF_TRANSPORTATION, LOCATION","On June 12, 2014, McMillon and Williams arrived in the tractor-trailer at an immigration checkpoint near Freer, Texas.","(""entity""{tuple_delimiter}JUNE 12, 2014{tuple_delimiter}DATE{tuple_delimiter} Date on which McMillon and Williams had arrived)
{record_delimiter}
(""entity""{tuple_delimiter}MCMILLON{tuple_delimiter}PERSON{tuple_delimiter} A potential smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}WILLIAMS{tuple_delimiter}PERSON{tuple_delimiter} A potential smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}TRACTOR-TRAILER{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} Transportation used by McMillon and Williams to arrive at immigration checkpoint near Freer, Texas)
{record_delimiter}
(""entity""{tuple_delimiter}FREER, TEXAS{tuple_delimiter}LOCATION{tuple_delimiter} A location near which there is an immigration checkpoint)
{record_delimiter}
(""relationship""{tuple_delimiter}MCMILLON{tuple_delimiter}JUNE 12, 2014{tuple_delimiter}On June 12, 2014, McMillon arrived at an immigration checkpoint near Freer, Texas{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}WILLIAMS{tuple_delimiter}JUNE 12, 2014{tuple_delimiter}On June 12, 2014, Williams arrived at an immigration checkpoint near Freer, Texas{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MCMILLON{tuple_delimiter}TRACTOR-TRAILER{tuple_delimiter}McMillon arrived at an immigration checkpoint near Freer, Texas in  a tractor-trailer{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}WILLIAMS{tuple_delimiter}TRACTOR-TRAILER{tuple_delimiter}Williams arrived at an immigration checkpoint near Freer, Texas in  a tractor-trailer{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}MCMILLON{tuple_delimiter}FREER, TEXAS{tuple_delimiter}McMillon arrived at an immigration checkpoint near Freer, Texas{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}WILLIAMS{tuple_delimiter}FREER, TEXAS{tuple_delimiter}Williams arrived at an immigration checkpoint near Freer, Texas{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","MCMILLON,WILLIAMS"
65,PERSON,Agent Pena identified himself and asked Williams if he minded opening the door so that they could hear each other over the engine noise.,"(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter} A border patrol agent of the US)
{record_delimiter}
(""entity""{tuple_delimiter}PENA{tuple_delimiter}PERSON{tuple_delimiter} A border patrol agent)
{record_delimiter}
(""entity""{tuple_delimiter}WILLIAMS{tuple_delimiter}PERSON{tuple_delimiter} A person suspected to be a smuggler)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENT{tuple_delimiter}PENA{tuple_delimiter}Pena was a Border Patrol agent{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}PENA{tuple_delimiter}WILLIAMS{tuple_delimiter}Agent Pena identified himself and asked Williams if he minded opening the door so that they could hear each other{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","AGENT,PENA,WILLIAMS"
66,"DATE, PERSON, ROUTES","On November 24, 2014, Williamson County Sheriff's Office detectives Gary Haston and Heather Vargas were traveling northbound on IH-35.","(""entity""{tuple_delimiter}NOVEMBER 24, 2014{tuple_delimiter}DATE{tuple_delimiter} Date on which detectives were traveling northbound in IH-35)
{record_delimiter}
(""entity""{tuple_delimiter}DETECTIVE{tuple_delimiter}PERSON{tuple_delimiter} An officer of the law)
{record_delimiter}
(""entity""{tuple_delimiter}GARY HASTON{tuple_delimiter}PERSON{tuple_delimiter} A detective in this case)
{record_delimiter}
(""entity""{tuple_delimiter}HEATHER VARGAS{tuple_delimiter}PERSON{tuple_delimiter} A detective in this case)
{record_delimiter}
(""entity""{tuple_delimiter}IH-35{tuple_delimiter}ROUTES{tuple_delimiter} An interstate highway in the US)
{record_delimiter}
(""relationship""{tuple_delimiter}GARY HASTON{tuple_delimiter}NOVEMBER 24, 2014{tuple_delimiter}On this date, Detective Gary Haston was traveling northbound on IH-35{tuple_delimiter}9)
(""relationship""{tuple_delimiter}HEATHER VARGAS{tuple_delimiter}NOVEMBER 24, 2014{tuple_delimiter}On this date, Detective Heather Vargas was traveling northbound on IH-35{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}GARY HASTON{tuple_delimiter}IH-35{tuple_delimiter}Detective Gary Haston was traveling northbound on IH-35{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}HEATHER VARGAS{tuple_delimiter}IH-35{tuple_delimiter}Detective Heather Vargas was traveling northbound on IH-35{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","DETECTIVE,GARY HASTON,HEATHER VARGAS"
67,MEANS_OF_TRANSPORTATION,"At some point, their attention was drawn to a 2008 Chevrolet truck pulling a flatbed trailer transporting a scissor lift.","(""entity""{tuple_delimiter}2008 CHEVROLET TRUCK{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle used for pulling a flatbed trailer transporting a scissor lift)
{record_delimiter}",
68,"PERSON, LOCATION","Under questioning, Saldana told the officers he lived in Laredo and was driving the scissor lift to Dallas for repairs as a favor to the owner.","(""entity""{tuple_delimiter}SALDANA{tuple_delimiter}PERSON{tuple_delimiter} A suspect in the case)
{record_delimiter}
(""entity""{tuple_delimiter}OFFICER{tuple_delimiter}PERSON{tuple_delimiter} An officer of the law)
{record_delimiter}
(""entity""{tuple_delimiter}LAREDO{tuple_delimiter}LOCATION{tuple_delimiter} Place where Saldana lived)
{record_delimiter}
(""entity""{tuple_delimiter}DALLAS{tuple_delimiter}LOCATION{tuple_delimiter} Place where Saldana was driving the scissor lift to)
{record_delimiter}
(""relationship""{tuple_delimiter}SALDANA{tuple_delimiter}LAREDO{tuple_delimiter}Saldana lived in Laredo{tuple_delimiter}9)
(""relationship""{tuple_delimiter}SALDANA{tuple_delimiter}DALLAS{tuple_delimiter}Place where Saldana was driving the scissor lift to, for repairs{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","SALDANA,OFFICER"
69,"PERSON, MEANS_OF_TRANSPORTATION, ROUTES",Arce-Jasso drove a 1996 Mercury Cougar to the border patrol checkpoint located on I-35,"(""entity""{tuple_delimiter}ARCE-JASSO{tuple_delimiter}PERSON{tuple_delimiter} A suspect in the case)
{record_delimiter}
(""entity""{tuple_delimiter}1996 MERCURY COUGAR{tuple_delimiter}PERSON{tuple_delimiter} A vehicle that Arce-Jasso drove)
{record_delimiter}
(""entity""{tuple_delimiter}I-35{tuple_delimiter}ROUTES{tuple_delimiter} An interstate highway in the US)
{record_delimiter}
(""relationship""{tuple_delimiter}ARCE-JASSO{tuple_delimiter}1996 MERCURY COUGAR{tuple_delimiter}Arce-Jasso drove a 1996 Mercury Cougar to the border patrol checkpoint{tuple_delimiter}9)
(""relationship""{tuple_delimiter}ARCE-JASSO{tuple_delimiter}I-35{tuple_delimiter}Arce-Jasso drove to the border patrol checkpoint located on I-35{tuple_delimiter}9)
{completion_delimiter}",ARCE-JASSO
70,PERSON,"When Arce-Jasso pulled up, Agent Garcia questioned him about his citizenship.","(""entity""{tuple_delimiter}ARCE-JASSO{tuple_delimiter}PERSON{tuple_delimiter} A suspect in the case)
{record_delimiter}
(""entity""{tuple_delimiter}AGENT{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent of US)
{record_delimiter}
(""entity""{tuple_delimiter}GARCIA{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent on duty)
{record_delimiter}
(""relationship""{tuple_delimiter}ARCE-JASSO{tuple_delimiter}GARCIA{tuple_delimiter} Agent Garcia questioned Arce-Jasso about his citizenship when he was pulled up{tuple_delimiter}9)
(""relationship""{tuple_delimiter}AGENT{tuple_delimiter}GARCIA{tuple_delimiter}Agent Garcia was a Border Patrol agent on duty{tuple_delimiter}9)
{completion_delimiter}","ARCE-JASSO,AGENT,GARCIA"
71,"DATE, PERSON, ROUTES","On February 18, 1983, United States Border Patrol agents Stanley Pruszenski and Alfred Baron were sitting in their marked border patrol sedan overlooking the northbound lanes of Interstate Highway 35.","(""entity""{tuple_delimiter}FEBRUARY 18, 1983{tuple_delimiter}DATE{tuple_delimiter} The date on which Agent Pruzenski and Agent Baron were on border patrol)
{record_delimiter}
(""entity""{tuple_delimiter}STANLEY PRUSZENSKI{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent on duty)
{record_delimiter}
(""entity""{tuple_delimiter}ALFRED BARON{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent on duty)
{record_delimiter}
(""entity""{tuple_delimiter}INTERSTATE HIGHWAY 35{tuple_delimiter}ROUTES{tuple_delimiter} An interstate highway in the US)
{record_delimiter}
(""relationship""{tuple_delimiter}FEBRUARY 18, 1983{tuple_delimiter}STANLEY PRUSZENSKI{tuple_delimiter} Stanley Pruszenski was a Border Patrol agent on duty on that date{tuple_delimiter}9)
(""relationship""{tuple_delimiter}FEBRUARY 18, 1983{tuple_delimiter}ALFRED BARON{tuple_delimiter} Alfred Baron was a Border Patrol agent on duty on that date{tuple_delimiter}9)
(""relationship""{tuple_delimiter}STANLEY PRUSZENSKI{tuple_delimiter}INTERSTATE HIGHWAY 35{tuple_delimiter} Stanley Pruszenski was sitting in their marked border patrol sedan overlooking the northbound lanes of Interstate Highway 35{tuple_delimiter}9)
(""relationship""{tuple_delimiter}ALFRED BARON{tuple_delimiter}INTERSTATE HIGHWAY 35{tuple_delimiter} Alfred Baron was sitting in their marked border patrol sedan overlooking the northbound lanes of Interstate Highway 35{tuple_delimiter}9)
{completion_delimiter}","STANLEY PRUSZENSKI,ALFRED BARON"
72,"PERSON, MEANS_OF_TRANSPORTATION","Pruszenski and Baron spotted a pickup truck camper traveling northbound unusually slowly, its headlights angled up.","(""entity""{tuple_delimiter}PRUSZENSKI{tuple_delimiter}PERSON{tuple_delimiter} A Border (""entity""{tuple_delimiter}BARON{tuple_delimiter}PERSON{tuple_delimiter} A Border Patrol Agent on duty)
{record_delimiter}
(""entity""{tuple_delimiter}PICKUP TRUCK CAMPER{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter} A vehicle that was spotted by agents Pruszenski and Baron)
{record_delimiter}
(""relationship""{tuple_delimiter}PRUSZENSKI{tuple_delimiter}PICKUP TRUCK CAMPER{tuple_delimiter}Pruszenski (and Baron) spotted a pickup truck camper traveling northbound unusually slowly, its headlights angled up{tuple_delimiter}9)
(""relationship""{tuple_delimiter}BARON{tuple_delimiter}PICKUP TRUCK CAMPER{tuple_delimiter}Baron (and Pruszenski) spotted a pickup truck camper traveling northbound unusually slowly, its headlights angled up{tuple_delimiter}9)
{completion_delimiter}",PRUSZENSKI
73,"PERSON, MEANS_OF_TRANSPORTATION, DATE","On March 12, 2024, Diego Martínez, a known smuggler, drove an 18-wheeler carrying undocumented migrants.","(""entity""{tuple_delimiter}DIEGO MARTÍNEZ{tuple_delimiter}PERSON{tuple_delimiter}A known smuggler responsible for transporting migrants in an 18-wheeler)
{record_delimiter}
(""entity""{tuple_delimiter}SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}An individual engaged in illegal human smuggling activities)
{record_delimiter}
(""entity""{tuple_delimiter}18-WHEELER{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A large truck used for smuggling operations)
{record_delimiter}
(""entity""{tuple_delimiter}MARCH 12, 2024{tuple_delimiter}DATE{tuple_delimiter}The date when the smuggling operation occurred)
{record_delimiter}
(""relationship""{tuple_delimiter}DIEGO MARTÍNEZ{tuple_delimiter}SMUGGLER{tuple_delimiter}Diego Martínez is identified as a smuggler involved in this case{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}DIEGO MARTÍNEZ{tuple_delimiter}18-WHEELER{tuple_delimiter}Diego Martínez drove the 18-wheeler carrying undocumented migrants{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}MARCH 12, 2024{tuple_delimiter}DIEGO MARTÍNEZ{tuple_delimiter}The smuggling operation led by Diego Martínez took place on this date{tuple_delimiter}7)
{record_delimiter}
{completion_delimiter}","DIEGO MARTÍNEZ,SMUGGLER"
74,"PERSON, LOCATION",Moreno and the other occupants of the vehicle were taken to the Border Patrol Station for further processing.,"(""entity""{tuple_delimiter}MORENO{tuple_delimiter}PERSON{tuple_delimiter}An occupant of the vehicle that was taken to Cotulla Border Patrol Station for further processing)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL STATION{tuple_delimiter}LOCATION{tuple_delimiter}A border patrol station where Moreno and the other occupants of the vehicle were taken for further processing)
{record_delimiter}
(""relationship""{tuple_delimiter}MORENO{tuple_delimiter}BORDER PATROL STATION{tuple_delimiter}Moreno and the other occupants of the vehicle were taken for further processing to this Border Patrol Station{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}",MORENO
75,"ORGANIZATION, PERSON, MEANS_OF_COMMUNICATION",PBSO conducted a digital forensic examination of the Defendant's cell phone.,"(""entity""{tuple_delimiter}PBSO{tuple_delimiter}ORGANIZATION{tuple_delimiter}A law enforcement organization involed in the case)
{record_delimiter}
(""entity""{tuple_delimiter}DEFENDANT{tuple_delimiter}PERSON{tuple_delimiter}Defendant of the case)
{record_delimiter}
(""entity""{tuple_delimiter}CELLPHONE{tuple_delimiter}MEANS_OF_COMMUNICATION{tuple_delimiter}A device that was examined in digital forensics by PBSO)
{record_delimiter}
(""relationship""{tuple_delimiter}PBSO{tuple_delimiter}CELLPHONE{tuple_delimiter}PBSO conducted a digital forensic examination of the Defendant's cell phone{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}DEFENDANT{tuple_delimiter}CELLPHONE{tuple_delimiter}Defendant's cell phone was under a digital forensic examination by PBSO {tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","DEFENDANT, MIGRANTS"
76,PERSON,Detective Gruber determined included evidence related to maritime human smuggling.,"(""entity""{tuple_delimiter}DETECTIVE{tuple_delimiter}PERSON{tuple_delimiter}A law enforcement officer involed in the case)
{record_delimiter}
(""entity""{tuple_delimiter}GRUBER{tuple_delimiter}PERSON{tuple_delimiter}A detective on the case)
{record_delimiter}
(""relationship""{tuple_delimiter}DETECTIVE{tuple_delimiter}GRUBER{tuple_delimiter}A detective named Gruber determined the presence of evidence related to maritime human smuggling{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","DETECTIVE,GRUBER"
77,"DATE, PERSON","In early 1992 Lee contacted Weng Yu Hui, an alien smuggler.","(""entity""{tuple_delimiter}1992{tuple_delimiter}DATE{tuple_delimiter}Year in which Lee made contact with Weng Yu Hui)
{record_delimiter}
(""entity""{tuple_delimiter}LEE{tuple_delimiter}PERSON{tuple_delimiter}A person involved in human smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}WENG YU HUI{tuple_delimiter}PERSON{tuple_delimiter}A human smuggler)
{record_delimiter}
(""relationship""{tuple_delimiter}LEE{tuple_delimiter}WENG YU HUI{tuple_delimiter}Lee contacted Weng Yu Hui, an alien smuggler{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}LEE{tuple_delimiter}1992{tuple_delimiter}The year in which Lee contacted Weng Yu Hui{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}","LEE,WENG YU HUI"
78,"PERSON, FEE","Lee expected to be paid $ 15,000 for each person smuggled","(""entity""{tuple_delimiter}LEE{tuple_delimiter}PERSON{tuple_delimiter}A person involved in human smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}$ 15,000{tuple_delimiter}FEES{tuple_delimiter}Amount Lee expected to get paid)
{record_delimiter}
(""relationship""{tuple_delimiter}LEE{tuple_delimiter}$ 15,000{tuple_delimiter}Lee expected to be paid $ 15,000 for each person smuggled{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}",LEE
79,"ORGANIZATION, MEANS_OF_TRANSPORTATION, LOCATION","The U.S. Coast Guard interdicted a go-fast vessel on the high seas, about 655 nautical miles west of the Galapagos Islands, Ecuador.","(""entity""{tuple_delimiter}U.S. COAST GUARD{tuple_delimiter}ORGANIZATION{tuple_delimiter}A US Law enforcement organization in the maritime routes)
{record_delimiter}
(""entity""{tuple_delimiter}GO-FAST VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}A vessel)
{record_delimiter}
(""entity""{tuple_delimiter}GALAPAGOS ISLANDS, ECUADOR{tuple_delimiter}LOCATION{tuple_delimiter}A location in the high seas)
{record_delimiter}
(""relationship""{tuple_delimiter}U.S. COAST GUARD{tuple_delimiter}GO-FAST VESSEL{tuple_delimiter}The U.S. Coast Guard interdicted a go-fast vessel on the high seas{tuple_delimiter}8)
{record_delimiter}
(""relationship""{tuple_delimiter}U.S. COAST GUARD{tuple_delimiter}GALAPAGOS ISLANDS, ECUADOR{tuple_delimiter}The U.S. Coast Guard interdicted a go-fast vessel about 655 nautical miles west of the Galapagos Islands, Ecuador{tuple_delimiter}8)
{record_delimiter}
{completion_delimiter}",
